ts,line,air_temp,humidity,pressure,soil_moisture,soil_moisture_trend,vapor_pressure_deficit,heat_stress,moisture_temp_ratio,volume_increase,rain_6h,wind_speed,et0,solar_radiation,hour_sin,hour_cos,weekday_sin,weekday_cos,mode,soil_moisture_lag1,air_temp_lag1,humidity_lag1,soil_moisture_delta,air_temp_delta,humidity_delta,soil_moisture_mean_24h,soil_moisture_max_24h,soil_moisture_min_24h,air_temp_max_24h,class
2023-06-29 12:00:00,1,34.90322580645162,36.435483870967744,1009.5516129032259,22.92838709677419,0.38075491467679284,3.5549577129304364,22.18606659729449,0.6386163522012577,154,0.0,9.509677419354835,13.449999999999996,522.3870967741935,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,A,0.0,0.0,0.0,0.0,0.0,0.0,22.92838709677419,22.92838709677419,22.92838709677419,34.90322580645162,1
2023-06-29 18:00:00,1,24.426470588235293,54.161764705882355,1009.6029411764706,23.13970588235294,-0.04695196681877172,1.4031803933695526,11.196663062283736,0.9100636205899363,0,0.0,7.3352941176470585,2.6699999999999995,34.411764705882355,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,A,22.92838709677419,34.90322580645162,36.435483870967744,0.21131878557874728,-10.47675521821633,17.72628083491461,23.034046489563565,23.13970588235294,22.92838709677419,34.90322580645162,0
2023-06-30 00:00:00,1,20.397058823529413,84.22058823529412,1009.364705882353,23.053529411764703,-0.0108925075107174,0.37813394466071104,3.2185358996539803,1.0774158075601372,0,1.2000000000000002,7.4,0.41000000000000003,9.647058823529411,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,A,23.13970588235294,24.426470588235293,54.161764705882355,-0.08617647058823508,-4.0294117647058805,30.05882352941176,23.040540796963942,23.13970588235294,22.92838709677419,34.90322580645162,0
2023-06-30 06:00:00,1,24.76111111111111,68.80555555555556,1008.4833333333333,22.99,-0.0017566181661328565,0.9741964242764665,7.724091049382716,0.8924304507224499,0,3.000000000000001,3.2666666666666666,7.259999999999999,295.0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,A,23.053529411764703,20.397058823529413,84.22058823529412,-0.06352941176470495,4.364052287581696,-15.415032679738559,23.027905597722956,23.13970588235294,22.92838709677419,34.90322580645162,0
2023-06-30 12:00:00,1,20.261111111111106,87.625,1007.8944444444444,27.275555555555556,2.06010104993332,0.29407260473592345,2.5073125,1.2828847661353544,0,16.2,5.616666666666668,7.739999999999998,289.8333333333333,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,A,22.99,24.76111111111111,68.80555555555556,4.285555555555558,-4.5000000000000036,18.819444444444443,24.114697712418298,27.275555555555556,22.99,24.76111111111111,0
2023-06-30 18:00:00,1,18.508333333333333,94.79166666666667,1007.5305555555557,28.675277777777776,-0.3768030913742519,0.1109838093909179,0.9639756944444431,1.469898903602449,0,44.99999999999999,7.533333333333333,0.54,15.166666666666666,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,A,27.275555555555556,20.261111111111106,87.625,1.3997222222222199,-1.7527777777777729,7.166666666666671,25.498590686274508,28.675277777777776,22.99,24.76111111111111,0
2023-07-01 00:00:00,1,17.885714285714286,95.6,1006.7257142857143,27.422571428571427,-0.14015927259026903,0.09016498374454351,0.7869714285714293,1.4520272314674734,0,0.0,6.300000000000001,0.18,10.457142857142857,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,A,28.675277777777776,18.508333333333333,94.79166666666667,-1.252706349206349,-0.6226190476190467,0.8083333333333229,26.59085119047619,28.675277777777776,22.99,24.76111111111111,0
2023-07-01 06:00:00,1,23.669444444444448,77.30555555555556,1006.3055555555553,26.700833333333335,-0.11971975181194075,0.6638634650362443,5.371648919753086,1.0823443305934015,0,0.0,4.583333333333333,11.4,484.1666666666667,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,A,27.422571428571427,17.885714285714286,95.6,-0.7217380952380914,5.783730158730162,-18.294444444444437,27.518559523809525,28.675277777777776,26.700833333333335,23.669444444444448,0
2023-07-01 12:00:00,1,31.702857142857148,47.47142857142857,1003.0457142857144,25.900571428571425,-0.11617354132942294,2.45598211770603,16.653057959183677,0.791997204263498,0,0.0,5.151428571428572,14.770000000000003,611.3714285714286,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,A,26.700833333333335,23.669444444444448,77.30555555555556,-0.8002619047619106,8.0334126984127,-29.83412698412699,27.174813492063493,28.675277777777776,25.900571428571425,31.702857142857148,0
2023-07-01 18:00:00,1,21.16111111111111,83.48611111111111,1004.4499999999999,25.113888888888894,-0.15343548025897238,0.4147832928852573,3.494522376543209,1.1332414138881928,0,0.0,6.7333333333333325,1.5599999999999998,34.333333333333336,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,A,25.900571428571425,31.702857142857148,47.47142857142857,-0.7866825396825305,-10.541746031746037,36.014682539682546,26.28446626984127,27.422571428571427,25.113888888888894,31.702857142857148,0
2023-07-02 00:00:00,1,19.611111111111114,85.23611111111111,1005.6749999999998,24.44888888888889,-0.07243785906569863,0.33699758004174685,2.895362654320988,1.186199460916442,0,0.0,7.066666666666666,0.48,11.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,A,25.113888888888894,21.16111111111111,83.48611111111111,-0.6650000000000027,-1.5499999999999972,1.75,25.541045634920636,26.700833333333335,24.44888888888889,31.702857142857148,0
2023-07-02 06:00:00,1,32.141666666666666,48.611111111111114,1005.8250000000003,24.143611111111113,-0.04242846079417184,2.46305507824843,16.517245370370368,0.7284971921884168,0,0.0,3.249999999999999,13.740000000000002,555.8333333333334,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,A,24.44888888888889,19.611111111111114,85.23611111111111,-0.3052777777777784,12.530555555555551,-36.625,24.90174007936508,25.900571428571425,24.143611111111113,32.141666666666666,0
2023-07-02 12:00:00,1,34.025000000000006,44.416666666666664,1004.4833333333333,23.88555555555556,-0.024423115342146588,2.9607401544637932,18.912229166666673,0.6819573320643985,0,4.199999999999999,3.783333333333333,15.420000000000002,576.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,A,24.143611111111113,32.141666666666666,48.611111111111114,-0.25805555555555415,1.88333333333334,-4.19444444444445,24.397986111111116,25.113888888888894,23.88555555555556,34.025000000000006,0
2023-07-02 18:00:00,1,25.07714285714286,64.87142857142857,1005.8971428571427,23.575714285714287,-0.08808507603997691,1.1179186507176642,8.809242040816327,0.9040758189985756,0,0.0,7.9228571428571435,1.83,33.42857142857143,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,A,23.88555555555556,34.025000000000006,44.416666666666664,-0.3098412698412716,-8.947857142857146,20.454761904761902,24.013442460317464,24.44888888888889,23.575714285714287,34.025000000000006,0
