ts,line,air_temp,humidity,pressure,soil_moisture,soil_moisture_trend,volume_increase,rain_6h,wind_speed,et0,solar_radiation,hour_sin,hour_cos,weekday_sin,weekday_cos,mode,class
2023-06-29 12:00:00,1,34.90322580645162,36.435483870967744,1009.5516129032259,22.92838709677419,0.38075491467679284,154,0.0,9.509677419354835,13.449999999999996,522.3870967741935,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,A,1
2023-06-29 18:00:00,1,24.426470588235293,54.161764705882355,1009.6029411764706,23.13970588235294,-0.04695196681877172,0,0.0,7.3352941176470585,2.6699999999999995,34.411764705882355,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,A,0
2023-06-30 00:00:00,1,20.397058823529413,84.22058823529412,1009.364705882353,23.053529411764703,-0.0108925075107174,0,1.2000000000000002,7.4,0.41000000000000003,9.647058823529411,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,A,0
2023-06-30 06:00:00,1,24.76111111111111,68.80555555555556,1008.4833333333333,22.99,-0.0017566181661328565,0,3.000000000000001,3.2666666666666666,7.259999999999999,295.0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,A,0
2023-06-30 12:00:00,1,20.261111111111106,87.625,1007.8944444444444,27.275555555555556,2.06010104993332,0,16.2,5.616666666666668,7.739999999999998,289.8333333333333,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,A,0
2023-06-30 18:00:00,1,18.508333333333333,94.79166666666667,1007.5305555555557,28.675277777777776,-0.3768030913742519,0,44.99999999999999,7.533333333333333,0.54,15.166666666666666,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,A,0
2023-07-01 00:00:00,1,17.885714285714286,95.6,1006.7257142857143,27.422571428571427,-0.14015927259026903,0,0.0,6.300000000000001,0.18,10.457142857142857,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,A,0
2023-07-01 06:00:00,1,23.669444444444448,77.30555555555556,1006.3055555555553,26.700833333333335,-0.11971975181194075,0,0.0,4.583333333333333,11.4,484.1666666666667,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,A,0
2023-07-01 12:00:00,1,31.702857142857148,47.47142857142857,1003.0457142857144,25.900571428571425,-0.11617354132942294,0,0.0,5.151428571428572,14.770000000000003,611.3714285714286,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,A,0
2023-07-01 18:00:00,1,21.16111111111111,83.48611111111111,1004.4499999999999,25.113888888888894,-0.15343548025897238,0,0.0,6.7333333333333325,1.5599999999999998,34.333333333333336,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,A,0
2023-07-02 00:00:00,1,19.611111111111114,85.23611111111111,1005.6749999999998,24.44888888888889,-0.07243785906569863,0,0.0,7.066666666666666,0.48,11.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,A,0
2023-07-02 06:00:00,1,32.141666666666666,48.611111111111114,1005.8250000000003,24.143611111111113,-0.04242846079417184,0,0.0,3.249999999999999,13.740000000000002,555.8333333333334,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,A,0
2023-07-02 12:00:00,1,34.025000000000006,44.416666666666664,1004.4833333333333,23.88555555555556,-0.024423115342146588,0,4.199999999999999,3.783333333333333,15.420000000000002,576.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,A,0
2023-07-02 18:00:00,1,25.07714285714286,64.87142857142857,1005.8971428571427,23.575714285714287,-0.08808507603997691,0,0.0,7.9228571428571435,1.83,33.42857142857143,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,A,0
