ts,rain,wind_speed,et0,solar_radiation
2023-07-02 13:00:00,0.0,0.4,0.57,782.0
2023-07-02 14:00:00,0.0,1.5,0.52,712.0
2023-07-02 15:00:00,0.3,12.0,0.37,441.0
2023-07-02 16:00:00,0.1,1.8,0.29,408.0
2023-07-02 17:00:00,0.3,4.5,0.22,291.0
2023-07-02 18:00:00,0.0,5.8,0.13,158.0
2023-07-02 19:00:00,0.0,4.8,0.04,37.0
2023-07-02 20:00:00,0.0,7.3,0.04,0.0
2023-07-02 21:00:00,0.0,8.9,0.03,0.0
2023-07-02 22:00:00,0.0,13.6,0.05,0.0
2023-07-02 23:00:00,0.0,7.3,0.02,0.0
2023-07-03 00:00:00,0.0,8.9,0.03,0.0
2023-07-03 01:00:00,0.0,5.8,0.01,0.0
2023-07-03 02:00:00,0.0,5.7,0.01,0.0
2023-07-03 03:00:00,0.0,6.1,0.0,0.0
2023-07-03 04:00:00,0.0,4.4,0.01,2.0
2023-07-03 05:00:00,0.0,4.3,0.04,63.0
2023-07-03 06:00:00,0.0,1.5,0.11,195.0
2023-07-03 07:00:00,0.0,6.2,0.23,351.0
2023-07-03 08:00:00,0.0,4.0,0.35,529.0
2023-07-03 09:00:00,0.0,2.5,0.45,651.0
2023-07-03 10:00:00,0.0,5.8,0.51,722.0
2023-07-03 11:00:00,0.0,6.8,0.55,749.0
2023-07-03 12:00:00,0.0,4.2,0.49,670.0
2023-07-03 13:00:00,2.6,3.7,0.48,673.0
2023-07-03 14:00:00,0.8,2.1,0.45,625.0
2023-07-03 15:00:00,0.0,6.3,0.41,565.0
2023-07-03 16:00:00,5.0,8.2,0.22,327.0
2023-07-03 17:00:00,0.3,10.5,0.13,156.0
2023-07-03 18:00:00,4.2,4.3,0.08,136.0
2023-07-03 19:00:00,0.2,4.4,0.03,25.0
2023-07-03 20:00:00,0.0,9.0,0.02,0.0
2023-07-03 21:00:00,0.0,5.8,0.0,0.0
2023-07-03 22:00:00,0.0,3.3,0.0,0.0
2023-07-03 23:00:00,0.0,4.5,0.0,0.0
2023-07-04 00:00:00,0.0,12.2,0.0,0.0
2023-07-04 01:00:00,0.0,15.3,0.0,0.0
2023-07-04 02:00:00,0.0,16.1,0.0,0.0
2023-07-04 03:00:00,0.0,10.5,0.0,0.0
2023-07-04 04:00:00,4.8,16.9,0.0,2.0
2023-07-04 05:00:00,0.0,7.8,0.03,24.0
2023-07-04 06:00:00,0.1,3.3,0.08,132.0
2023-07-04 07:00:00,0.0,1.8,0.15,248.0
2023-07-04 08:00:00,0.1,2.1,0.19,297.0
2023-07-04 09:00:00,0.1,3.6,0.21,312.0
2023-07-04 10:00:00,0.0,4.9,0.32,474.0
2023-07-04 11:00:00,0.0,6.2,0.38,551.0
2023-07-04 12:00:00,0.0,9.2,0.44,602.0
2023-07-04 13:00:00,0.7,4.7,0.37,502.0
2023-07-04 14:00:00,0.5,9.9,0.41,557.0
2023-07-04 15:00:00,0.6,6.5,0.37,520.0
2023-07-04 16:00:00,0.1,4.2,0.21,277.0
2023-07-04 17:00:00,0.3,4.8,0.2,263.0
2023-07-04 18:00:00,0.0,2.9,0.1,136.0
2023-07-04 19:00:00,0.0,4.8,0.04,37.0
2023-07-04 20:00:00,0.0,4.7,0.02,0.0
2023-07-04 21:00:00,0.0,4.3,0.0,0.0
2023-07-04 22:00:00,1.9,24.4,0.02,0.0
2023-07-04 23:00:00,3.5,7.4,0.0,0.0
2023-07-05 00:00:00,0.0,23.1,0.03,0.0
2023-07-05 01:00:00,0.0,5.5,0.0,0.0
2023-07-05 02:00:00,0.6,15.0,0.01,0.0
2023-07-05 03:00:00,0.0,3.4,0.0,0.0
2023-07-05 04:00:00,0.0,4.6,0.0,2.0
2023-07-05 05:00:00,0.0,2.1,0.03,61.0
2023-07-05 06:00:00,0.0,1.8,0.11,196.0
2023-07-05 07:00:00,0.0,1.3,0.22,361.0
2023-07-05 08:00:00,0.0,1.4,0.33,518.0
2023-07-05 09:00:00,0.0,2.4,0.43,644.0
2023-07-05 10:00:00,0.0,2.1,0.51,738.0
2023-07-05 11:00:00,0.0,3.5,0.57,806.0
2023-07-05 12:00:00,0.0,0.8,0.58,823.0
2023-07-05 13:00:00,0.0,3.6,0.56,773.0
2023-07-05 14:00:00,0.0,3.3,0.5,696.0
2023-07-05 15:00:00,0.0,7.6,0.42,557.0
2023-07-05 16:00:00,0.0,7.6,0.24,290.0
2023-07-05 17:00:00,0.0,8.2,0.2,234.0
2023-07-05 18:00:00,0.0,7.8,0.11,107.0
2023-07-05 19:00:00,0.0,7.6,0.05,24.0
2023-07-05 20:00:00,0.0,5.4,0.03,0.0
2023-07-05 21:00:00,0.0,6.3,0.01,0.0
2023-07-05 22:00:00,0.0,6.7,0.0,0.0
2023-07-05 23:00:00,0.0,8.0,0.01,0.0
2023-07-06 00:00:00,0.0,11.5,0.04,0.0
